frame,lady,x_start,x_end,y_start,y_end,movie,count
1,1,261,333,381,453,1,3
1,2,997,1069,373,445,1,3
1,3,1549,1621,381,453,1,3
2,1,261,333,381,453,1,3
2,2,997,1069,373,445,1,3
2,3,1549,1621,381,453,1,3
3,1,261,333,381,453,1,3
3,2,997,1069,373,445,1,3
3,3,1549,1621,381,453,1,3
4,1,261,333,381,453,1,3
4,2,997,1069,373,445,1,3
4,3,1549,1621,381,453,1,3
5,1,261,333,381,453,1,3
5,2,997,1069,373,445,1,3
5,3,1549,1621,381,453,1,3
6,1,261,333,381,453,1,3
6,2,997,1069,373,445,1,3
6,3,1549,1621,381,453,1,3
7,1,261,333,381,453,1,3
7,2,997,1069,373,445,1,3
7,3,1549,1621,381,453,1,3
8,1,261,333,381,453,1,3
8,2,997,1069,373,445,1,3
8,3,1549,1621,381,453,1,3
9,1,261,333,381,453,1,3
9,2,997,1069,373,445,1,3
9,3,1549,1621,381,453,1,3
10,1,261,333,381,453,1,3
10,2,997,1069,373,445,1,3
10,3,1549,1621,381,453,1,3
11,1,261,333,381,453,1,3
11,2,997,1069,373,445,1,3
11,3,1549,1621,381,453,1,3
12,1,261,333,381,453,1,3
12,2,997,1069,373,445,1,3
12,3,1549,1621,381,453,1,3
13,1,261,333,381,453,1,3
13,2,997,1069,373,445,1,3
13,3,1549,1621,381,453,1,3
14,1,261,333,381,453,1,3
14,2,997,1069,373,445,1,3
14,3,1549,1621,381,453,1,3
15,1,261,333,381,453,1,3
15,2,997,1069,373,445,1,3
15,3,1549,1621,381,453,1,3
16,1,261,333,381,453,1,3
16,2,997,1069,373,445,1,3
16,3,1549,1621,381,453,1,3
17,1,261,333,381,453,1,3
17,2,997,1069,373,445,1,3
17,3,1549,1621,381,453,1,3
18,1,261,333,381,453,1,3
18,2,997,1069,373,445,1,3
18,3,1549,1621,381,453,1,3
19,1,261,333,381,453,1,3
19,2,997,1069,373,445,1,3
19,3,1549,1621,381,453,1,3
20,1,261,333,381,453,1,3
20,2,997,1069,373,445,1,3
20,3,1549,1621,381,453,1,3
21,1,261,333,381,453,1,3
21,2,997,1069,373,445,1,3
